aligned_date,headline,text,section,url
2018-01-01,Tom Brokaw: You Can Find the Entire World Inside Your Hospital,President Trump is vowing to return to two of his favorite goals in 2018: a crackdown on immigration and the dissolution of the Affordable Care Act.,Opinion,https://www.nytimes.com/2017/12/31/opinion/tom-brokaw-health-care-immigrants.html
2018-01-01,New York Family of 5 Among 10 Americans Killed in Costa Rica Plane Crash,"In the weeks before their family trip to Costa Rica, Bruce and Irene Steinberg of Scarsdsale, N.Y., told friends and family how excited they were to take their three sons on an adventure through that country’s lush forests and tropical beaches.",World,https://www.nytimes.com/2017/12/31/world/americas/costa-rica-plane-crash.html
2018-01-01,The Wall of Love Outside a Jail,"Maria stood outside the Metropolitan Detention Center in Sunset Park, Brooklyn, on a recent evening, looking up. The jail loomed above, a concrete bulwark more than a dozen stories high and lined in narrow windows. Behind one of them was her husband.",New York,https://www.nytimes.com/2017/12/31/nyregion/metropolitan-detention-center-brooklyn-jail-signs.html
2018-01-01,The Sentient-Being Diet,"NASHVILLE — Two weeks ago I was reading a book by a brilliant writer whose life was cut short by melanoma — “Dying: A Memoir,” by Cory Taylor — when I noticed a weird little growth on the skin just above my heart. A weird little growth right where long ago I used to slather a baby-oil-and-iodine concoction as I sat on a dorm roof during my college years. A weird little growth that suddenly struck me as almost certainly malignant melanoma.",Opinion,https://www.nytimes.com/2017/12/31/opinion/new-year-sentient-being-diet.html
2018-01-01,Changing the Script,To the Editor:,Opinion,https://www.nytimes.com/2017/12/31/opinion/men-women-movies.html
2018-01-01,Don’t Belittle Egypt,To the Editor:,Opinion,https://www.nytimes.com/2017/12/31/opinion/us-egypt.html
2018-01-01,Apportioning Blame for the Amtrak Tragedy,To the Editor:,Opinion,https://www.nytimes.com/2017/12/31/opinion/amtrak-derailment.html
2018-01-01,Taxing College Endowments,To the Editor:,Opinion,https://www.nytimes.com/2017/12/31/opinion/taxing-college-endowments.html
2018-01-01,When the Parent-Child Bond Is Cut,To the Editor:,Opinion,https://www.nytimes.com/2017/12/31/opinion/parent-child-estrangement.html
2018-01-01,Overwhelmed by Donations for Survivors of Fatal Bronx Fire,"Minutes before Sunday Mass at St. Martin of Tours Roman Catholic Church in the Bronx, as the music began, a man approached the Rev. Cosme Fernandes.",New York,https://www.nytimes.com/2017/12/31/nyregion/bronx-fire-donations.html
2018-01-01,The Failed War on Drugs,"The war on drugs in the United States has been a failure that has ruined lives, filled prisons and cost a fortune. It started during the Nixon administration with the idea that, because drugs are bad for people, they should be difficult to obtain. As a result, it became a war on supply.",Opinion,https://www.nytimes.com/2017/12/31/opinion/failed-war-on-drugs.html
2018-01-01,A Big Year for the Stock Market,,Business Day,https://www.nytimes.com/interactive/2017/12/31/business/A-Big-Year-for-the-Stock-Market.html
