date,fulltext_clean,section_name,sentiment_GOLD
2010-06-18,"drill ban means hard times for rig workers the drill ban could jeopardize 50,000 jobs, according to one estimate, hurting many blue-collar coastal communities. in addition to the fishermen and hoteliers whose livelihoods have been devastated by bp’s hemorrhaging undersea oil well, another group of gulf coast residents is beginning to suffer: the tens of thousands of workers like ronald brown who run the equipment or serve in support roles on deepwater oil rigs in the gulf of mexico.",Business Day,0
2011-08-29,"ingredients of shady origins, posing as supplements drugs marketed in the guise of supplements may contain dangerous amphetamines, synthetic steroids, laxatives and other prohibited compounds. boston",Business Day,0
2004-11-12,"world business briefing | europe: britain: profit at telephone company bt group reports third-quarter net income of $790.7 million, up 14 percent from same period last year; graph (s) the british phone company bt group said quarterly profit rose 14 percent as lower prices for internet services led to an increase in the number of high-speed connections and offset a slump in its traditional fixed-line business. net income in the quarter, which ended sept. 30 and was the second quarter of bt's fiscal year, rose to £428 million ($790.7 million) from £376 million a year earlier. sales rose 2 percent, to £4.60 billion, from £4.57 billion, the company said.",Business Day,0
2022-08-17,"liz cheney is defeated by trump-backed harriet hageman in wyoming ms. hageman’s easy victory was a blunt repudiation of ms. cheney and her relentless campaign to stop donald j. trump. ms. cheney vowed to not let up. jackson, wyo. — representative liz cheney of wyoming was resoundingly defeated by harriet hageman in her republican primary on tuesday, handing donald j. trump his most prized trophy yet in his long campaign to purge the republican party of his critics.",U.S.,0
2010-06-28,"world leaders agree on timetable for cutting deficits the group of 20 countries endorsed a goal of cutting deficits by 2013, despite concern by the u.s. that reducing spending too quickly might set back the fragile global recovery. toronto  leaders of the world’s biggest economies agreed sunday on a timetable for cutting deficits and halting the growth of their debt, but also acknowledged the need to move carefully so that reductions in spending did not set back the fragile global recovery.",Business Day,0
2022-06-20,"in a town crippled by grief, the healing power of a perfect pitch uvalde, texas, was set to cancel its little league all-star championship after a school shooting left 21 people dead. then, the decision was made: the games would go on. uvalde, texas — young people in their crisp little league uniforms ran up and down the field in giddy anticipation. the smell of nacho cheese and sizzling chicken fajitas spread through the bleachers on the hot summer night breeze.",U.S.,0
2021-11-22,"lael brainard is tapped for vice chair of the federal reserve. the longtime washington insider is now the central bank’s no. 2. that could give her more bandwidth to influence policy. president biden said on monday that he would nominate lael brainard as the federal reserve’s vice chair, the no. 2 role at the fed and one that could give her a stronger mandate to influence everything from the cost of money to the future of digital cash.",Business Day,0
2006-08-21,"ford is slashing production 20% in 4th quarter the production cuts are the latest indication of just how difficult it will be for the detroit companies to rejuvenate themselves. dearborn, mich., aug. 18 — the ford motor company, which is struggling to keep its grip on second place in the american car market, said friday that it would cut by one-fifth the number of vehicles it plans to build in the final three months of the year.",Business Day,0
2005-11-16,"senate presses administration for iraq plans senate votes 79-19 to seek new quarterly reports from bush administration on course of war in iraq, including iraqi troop readiness, expressing view that 2006 should see 'significant transfer to full iraqi sovereignty; rejects, 58-40, democratic proposal to require administration to project dates for phased troop withdrawal; willingness of most republicans to join most democrats reflects their new determination to distance themselves from white house in face of dwindling public support; bush, in kyoto, says he is 'more than happy' to provide regular updates and appreciates rejection of withdrawal deadline; senate also approves, 84-14, bipartisan compromise to allow prisoners at guantanamo to challenge in federal court their detention as enemy combatants and to appeal convictions and sentences by military tribunal in excess of ten years; deal retreats from earlier vote denying them any court access but still prevents detainees from seeking court role in treatment and prison conditions; republican leaders bill frist and john warner say iraq push is not criticism of bush but signal to iraqi people to do their share; lindsey graham, amendment sponsor with democrat carl levin, notes concerns about 2006 elections; photos (m) washington, nov. 15 - the senate voted on tuesday to press the bush administration to provide more public information about the course of the war in iraq as lawmakers of both parties made it clear they wanted chief responsibility for securing the country shifted to the iraqi government within the next year.",U.S.,0
2015-04-29,baltimore riots are another scar on a city long battered by neglect the riots in blighted neighborhoods on both sides of town were a heavy blow for a long-suffering city that had been showing signs of a comeback. baltimore — the rev. donte l. hickman sr. heard about the trouble brewing on this city’s west side on monday afternoon and instantly took to twitter to rally his east baltimore troops.,U.S.,-1
